full.name,ip.address,region,in.store,age,items,amount
Fletcher Ernser,,4,0,36,5,486.72
Ahmed Mayer,,2,0,65,8,321.84
Klara Carroll,,4,0,23,3,2581.1
Sidney Swift,,2,0,82,3,71.181
Carlton Swift,3.130.22.155,1,1,41,4,643.44
Coletta Bednar,,3,0,25,5,720.47
Ashlee Turcotte,,2,0,50,2,64.764
Bebe Koelpin,,4,0,63,6,662.45
Frederic Wolff,56.192.112.205,4,1,20,8,1280.5
Lessie Morissette,,3,0,57,3,728.5
Frederic Kuhn,190.248.151.202,3,1,25,2,91.493
Cris Hegmann,,2,0,38,8,379.74
Ta Greenholt,116.6.243.57,3,1,51,1,55.069
Pat Schroeder,,2,0,78,3,198.33
Patience Dach,210.167.139.213,1,1,60,7,791.8
Stanford Reilly,150.166.182.195,4,1,34,3,1545.5
Cheryl Ruecker,152.103.8.201,1,1,74,6,646.78
Verna Toy,,2,0,41,7,405.69
Ivory Walter,231.170.168.117,1,1,25,1,70.565
Lisa Feest,,4,0,18,3,1734.0
Wayne Mraz,54.130.127.74,3,1,70,2,422.91
China Hudson,203.149.120.121,4,1,37,7,641.12
Phyllis Nikolaus,,2,0,70,1,244.28
Ty Bernhard,,2,0,46,3,305.83
Jayson Stamm,,2,0,34,6,443.27
Luise Dare,,4,0,60,5,1070.5
Minda Kuhlman,162.4.41.95,4,1,54,5,1345.2
Leonarda Russel,,4,0,63,1,2656.9
Danilo Stamm,127.19.47.98,4,1,48,4,1681.4
Lowell Pouros,205.64.41.205,1,1,33,6,309.6
Sasha Ondricka,216.203.247.26,4,1,23,5,575.45
Maximina Lindgren,192.30.214.227,3,1,35,2,922.88
Prince Carter,89.162.196.2,3,1,74,6,371.34
Lucrecia Mueller,227.22.1.180,3,1,27,6,947.24
Josiah Bradtke,119.82.172.103,3,1,68,7,763.99
Antonia Rutherford,195.75.61.148,3,1,43,2,821.53
Kareem Schumm,235.140.108.123,1,1,29,7,618.78
Daisy Rath,4.200.146.42,4,1,28,5,685.99
Parker Goyette,212.171.175.61,4,1,29,7,198.63
Son Konopelski,9.73.198.45,3,1,38,3,897.98
Agustin Halvorson,,2,0,72,4,233.52
Chi McClure,24.56.5.223,1,1,46,4,902.31
Tennille Mertz,,3,0,24,3,1587.7
Harry Kulas,62.131.195.45,4,1,48,5,858.42
Margit Fahey,,2,0,43,1,268.25
else Hermiston,,4,0,34,3,928.59
Elden Stiedemann,179.141.67.53,3,1,27,6,789.16
Gay Mayert,,2,0,69,8,56.093
Sunni Langosh,,2,0,46,3,340.2
Keturah Yost,79.192.168.244,3,1,70,7,537.51
Stephen Kilback,,3,0,42,7,501.2
Sunshine Lueilwitz,196.17.181.51,1,1,67,3,902.13
Jeanie Kunze,,2,0,44,4,365.23
Ocie Runolfsdottir,50.73.95.8,3,1,30,2,507.05
Neida O'Reilly,,4,0,41,3,280.5
Thanh Hermann,236.120.175.78,1,1,40,2,1834.6
Thurman Hackett,,2,0,72,3,68.772
Owen Medhurst,93.209.37.21,1,1,32,5,393.13
Gretta Hand,7.222.206.120,1,1,70,4,610.04
Cleveland Kihn,,2,0,31,4,486.11
Yang Sawayn,,4,0,24,7,2511.5
Erlene Mraz,,2,0,46,2,145.58
Lilli Spencer,,2,0,52,2,81.123
Jacinta Murray,66.194.82.87,3,1,36,5,150.22
Tracey Armstrong,94.231.210.195,4,1,48,5,280.1
Lianne O'Conner,9.122.130.49,4,1,44,4,349.47
Marty Jacobi,,3,0,44,1,2160.8
Timothy Rowe,,3,0,33,6,1907.2
Josefine White,,2,0,76,6,478.12
Philip Altenwerth,182.231.206.169,3,1,51,7,606.61
Eldridge Koss,181.240.217.214,3,1,74,3,248.45
Brock Ullrich,,2,0,80,7,295.69
Eugenio Watsica,121.139.19.7,1,1,63,4,980.71
Juliane Rutherford,58.16.118.181,4,1,34,2,1540.5
Johnson Turner,,2,0,72,2,433.79
Fredricka Herman,,4,0,57,3,348.95
Yolando Becker,,2,0,37,2,298.51
Ivy Mosciski,,3,0,41,7,1161.1
Debby Stanton,,4,0,37,6,1894.8
Eleonora Marvin,217.139.153.184,3,1,60,3,135.28
Retta Cremin,,2,0,76,7,45.93
Vicky Auer,209.223.43.18,4,1,53,7,759.76
Vanna O'Conner,,2,0,80,6,381.57
Xavier Bode,176.178.222.228,1,1,52,4,887.96
Rocky Lehner,,4,0,19,7,2385.4
Kelley Zemlak,101.208.80.51,4,1,37,2,713.88
Tracy Ziemann,247.60.125.248,3,1,60,7,555.17
Riley Considine,121.209.129.109,4,1,23,2,428.68
Jacob Schneider,145.81.134.25,4,1,35,8,1750.6
Richard Runte,,2,0,53,2,35.978
Carrol Boyle,,2,0,45,6,205.29
Avery Lubowitz,112.37.152.103,1,1,46,4,1126.2
Chia Hane,,2,0,34,6,415.62
Reynaldo Rath,,2,0,50,4,366.23
Rayna Kilback,9.4.226.224,1,1,51,5,1265.8
Tristan Purdy,,2,0,53,1,246.94
Louis Emard,,2,0,68,3,239.55
Caleb Boyle,,4,0,25,7,2252.7
Hilario Dickens,,3,0,26,2,1126.2
Sol Schimmel,80.83.191.81,4,1,42,5,1928.6
Brian Bahringer,,4,0,55,6,1606.2
Shane Kautzer,,2,0,82,7,415.82
Elin Miller,243.52.244.86,1,1,52,4,620.92
Glynis Parker,,3,0,19,5,794.98
Merry Osinski,,2,0,48,3,99.32
Hugh Legros,124.183.204.234,1,1,52,7,1188.8
Ludie Rutherford,172.188.64.221,3,1,40,5,54.444
Rocky Welch,194.7.170.224,1,1,50,5,437.54
Cecil Willms,34.214.143.56,4,1,30,5,1164.7
Dean Hilll,57.55.138.45,3,1,36,1,125.62
Carey Feil,240.229.190.146,1,1,51,5,456.05
Eldora Connelly,203.176.18.107,1,1,45,7,318.93
Caterina Medhurst,,2,0,57,2,25.774
Morris Kerluke,,4,0,27,7,2802.3
Rosendo Collier,255.26.67.232,1,1,44,5,780.06
Rickie Cartwright,,4,0,46,8,2413.2
Demetrice Franecki,,4,0,36,2,2510.1
Devorah Anderson,,3,0,32,5,1440.0
Dan Steuber,,2,0,58,8,403.34
Missy Beier,,2,0,82,4,284.37
Zelma Fisher,86.40.26.214,1,1,23,3,244.09
Filiberto Cassin,,4,0,42,6,1052.4
Seth Kohler,,2,0,77,3,90.949
Miguel Cummings,48.4.222.96,3,1,69,7,628.92
Telma Stroman,,3,0,38,1,1930.3
Jerald Funk,,2,0,81,5,20.257
Dick Mueller,,4,0,28,7,1838.8
Erlinda O'Hara,,3,0,19,4,1944.8
Drew Schmidt,,2,0,65,4,490.68
Avery Johnston,,2,0,42,7,467.23
Rubin Muller,,2,0,30,2,107.14
Catharine Zieme,,4,0,51,5,1813.4
Barrett Price,99.151.179.122,3,1,47,2,669.73
Kam Sauer,19.132.90.174,4,1,40,2,757.83
Johnson Murray,132.52.239.189,1,1,48,8,974.97
Francesco Aimonetti,,2,0,67,4,37.431
Quinton Jerde,99.17.23.62,1,1,63,5,462.49
Garret Moen,,4,0,61,4,392.1
Malcolm Murphy,24.52.136.133,1,1,30,2,1081.5
Suzy Schaden,14.138.125.84,4,1,26,7,1962.3
Frances Bosco,,2,0,81,2,215.47
Kareem McCullough,,3,0,31,3,1910.9
Jamee Gaylord,176.191.141.157,3,1,25,5,844.83
Vicente Block,252.109.181.79,3,1,29,2,349.69
Delena Smitham,65.207.238.56,3,1,46,3,511.41
Wilford Emmerich,,4,0,42,1,941.06
Numbers Ziemann,,3,0,36,4,2743.0
Taneka Stroman,,2,0,70,5,417.1
Gerald Gleason,,4,0,51,5,891.18
Willis Reichert,,4,0,23,3,761.73
Elina Gaylord,54.228.7.112,1,1,53,4,462.68
Alta Hilpert,,2,0,29,2,478.28
Janetta O'Kon,,4,0,39,4,2709.9
Bobby Rice,27.185.78.99,1,1,29,5,525.52
Ricky Boehm,2.168.146.87,4,1,19,8,1943.6
Spencer Collier,,2,0,60,7,44.983
Lara Roob,136.145.123.250,4,1,24,3,1942.7
Daryl Cruickshank,,4,0,48,2,748.96
Boris Leffler,,4,0,29,4,1974.8
Teena Bogisich,,4,0,47,4,1545.9
Gaynell Wiza,223.125.231.245,4,1,41,6,1782.6
Joelle Hahn,249.44.76.93,1,1,57,5,927.61
Anastasia Lind,147.80.4.35,4,1,37,6,651.22
Delores Davis,,4,0,56,6,1772.3
Joey Beier,176.87.14.147,1,1,46,4,491.48
Monty Auer,,4,0,58,3,1634.8
Mitch Feeney,78.111.211.252,3,1,34,4,929.69
Rafaela Wisoky,93.158.149.44,3,1,28,2,823.88
Arthur Beier,158.216.94.53,3,1,38,6,618.57
Mellissa Hudson,,3,0,22,4,1920.8
Valeri Baumbach,,2,0,67,7,146.55
Myron Ryan,,4,0,62,3,1704.8
Torrie Lang,117.222.182.75,4,1,36,4,97.708
Karlyn Schoen,,3,0,29,7,838.37
Wilton Hahn,,2,0,56,3,223.21
Alethea Mueller,,4,0,45,2,775.96
Miguel O'Connell,,4,0,26,5,1657.9
Margurite Bergnaum,,3,0,44,7,1674.7
Mickey Cruickshank,54.186.182.49,3,1,58,7,426.05
Neville Kshlerin,,2,0,69,4,281.57
Lillie Ryan,196.69.100.96,1,1,38,7,767.98
Santo Swift,,3,0,53,6,111.49
Malcom Hyatt,89.184.129.58,3,1,42,1,562.58
Sidney Tremblay,48.22.131.52,1,1,36,3,308.33
Arlen Green,,4,0,19,3,1857.7
Freddie Reichert,,2,0,75,1,182.31
Paris Rohan,212.75.218.154,4,1,42,4,1822.1
Mathew Okuneva,213.216.190.25,3,1,52,3,711.29
Barton Trantow,,2,0,32,2,143.54
Chelsea Rutherford,,3,0,35,7,1426.1
Isaias Pouros,,3,0,24,1,846.82
Damon Fritsch,171.158.72.34,3,1,39,8,566.9
Rico Glover,,4,0,50,4,1036.5
Kory Goyette,249.85.162.76,3,1,25,2,364.19
Sachiko Ruecker,,2,0,64,6,432.79
Stevie Reynolds,170.92.183.89,4,1,52,3,1883.9
Vernon Yost,116.228.200.65,4,1,39,2,1984.9
Henry Barton,62.227.166.240,3,1,25,4,379.51
Lenny Stanton,,4,0,38,5,221.9
Leonardo Jones,,2,0,33,3,299.66
Nicolasa Prosacco,72.173.104.161,3,1,54,3,769.42
Stephenie Sporer,,2,0,45,1,494.08
Lucie Littel,,3,0,57,4,734.24
Alvaro Monahan,,2,0,44,8,125.77
Garry Kunde,,2,0,46,8,7.6996
Maryanne Gerhold,,2,0,71,2,318.72
Kimberlie Lind,,2,0,64,3,344.54
Bibi Thompson,,4,0,49,8,827.68
Julio Dach,,4,0,49,2,919.27
Freeman Reynolds,,3,0,29,2,1995.3
Lesley Jacobi,,2,0,32,6,434.05
Edmundo Wilkinson,170.120.106.218,1,1,53,7,71.66
Santo Ruecker,,2,0,50,6,386.85
Ted McKenzie,100.180.86.191,1,1,33,8,263.69
Ernesto Miller,26.13.182.20,1,1,46,7,114.05
Carlos Hoppe,101.253.10.180,3,1,40,4,303.7
Dale Cruickshank,,2,0,70,5,94.871
Erwin Purdy,,2,0,66,3,90.669
Denny Conroy,,3,0,18,7,1603.7
Crystal Conroy,130.193.214.41,4,1,23,4,675.68
Tyron Hintz,32.224.77.44,3,1,37,2,491.31
Tomoko Monahan,,2,0,30,7,495.82
Jody Streich,204.195.73.141,3,1,61,3,955.61
Ivory Hickle,,3,0,18,7,2975.6
Alvaro Dietrich,,3,0,21,7,2978.6
Raymond Daniel,,2,0,44,4,17.143
Leslie Bechtelar,,2,0,32,5,187.6
Mariana Hansen,,4,0,29,2,2795.5
Willow Sipes,,2,0,70,7,73.095
Stanley King,215.44.101.212,4,1,35,3,1177.3
Stefan Stanton,,2,0,32,8,248.39
Lakeshia Reichel,,2,0,77,5,292.01
Un Von,103.99.3.153,4,1,32,6,1108.0
Lan O'Connell,,2,0,80,2,362.85
Dannie Jerde,,4,0,27,5,181.0
Waldo Greenholt,102.38.206.52,3,1,51,7,781.13
Catalina Sipes,,2,0,40,6,186.11
Alonzo Collins,47.187.187.223,1,1,42,2,892.18
Shakira Ratke,43.183.243.155,3,1,39,3,517.59
Theron Oberbrunner,149.135.194.207,1,1,48,4,635.47
Jospeh Klein,,2,0,71,7,379.6
Louann DuBuque,,2,0,80,4,450.82
Ariel Turcotte,157.15.103.140,4,1,48,6,1537.4
Arnita Hahn,150.92.179.247,3,1,74,6,317.23
Ema Rippin,254.199.244.135,4,1,52,7,519.8
Denver Gulgowski,,3,0,25,3,2451.9
Ralph Kulas,219.83.33.74,3,1,38,1,531.83
Robert Hahn,,2,0,61,3,42.984
Cameron Rohan,128.150.117.182,4,1,23,8,737.41
Karyn Mayer,,2,0,85,6,25.694
Arlen Murazik,117.152.171.135,3,1,27,1,361.72
Amanda Kertzmann,133.25.81.206,1,1,61,6,248.12
Georgiann Ritchie,,2,0,43,1,192.9
Ezequiel Rolfson,210.47.82.1,4,1,34,5,1628.6
Ivory Smitham,,2,0,66,6,231.85
Sherie Sporer,237.183.228.175,1,1,40,7,1764.9
Edwin Runte,182.9.130.235,3,1,56,3,589.18
Haywood Heathcote,188.96.92.183,1,1,54,3,1039.3
Denise Kulas,,4,0,25,8,1700.5
Paula Erdman,101.70.71.185,4,1,38,5,743.36
Tresa Zboncak,,4,0,20,2,2082.3
Darron Schmitt,,2,0,78,4,322.53
Madge Gerhold,93.237.200.110,3,1,32,1,139.29
Jerrell Nikolaus,161.238.236.141,1,1,40,6,81.046
Ivey Hamill,236.52.112.96,4,1,34,1,730.83
Clair Prohaska,73.83.14.68,1,1,67,4,332.4
Juan Boyle,,2,0,32,7,499.74
Kenton Rau,,2,0,32,2,264.11
Shonta McGlynn,50.201.121.252,3,1,65,3,647.96
Alysha Lowe,,2,0,29,7,290.49
Wendell Raynor,,2,0,70,2,341.93
Humberto Lehner,65.208.218.211,3,1,45,4,194.78
Carlos Mohr,,2,0,46,7,295.67
Wilford Johnston,,2,0,84,7,28.287
Sammy Kunze,,2,0,45,2,255.99
Frances Green,,3,0,27,5,386.04
Morgan Breitenberg,136.136.252.214,1,1,54,7,1655.2
Rupert Moore,,2,0,83,4,123.4
Ethan Nader,,2,0,48,7,291.12
Sadye Dooley,,2,0,52,6,373.87
Roxie Pagac,,4,0,57,5,758.79
Vina Schamberger,,2,0,31,6,436.12
Tomas Kuhn,,4,0,55,5,2658.4
Marguerita Lang,227.56.58.20,3,1,51,6,545.07
Jerald Renner,253.120.54.228,4,1,25,3,899.76
Sheldon Turner,20.226.226.147,4,1,27,5,1206.1
Miranda Marks,62.90.247.162,4,1,43,7,940.39
Jaunita Heaney,154.159.173.61,4,1,31,6,1093.5
Winford Spencer,39.225.51.188,3,1,49,7,567.54
Jeannette Cummings,,4,0,25,2,1974.2
Rubin Grimes,33.12.213.56,1,1,28,7,1229.7
Earline Willms,2.90.151.59,1,1,48,2,898.95
Kurtis Leffler,127.1.236.46,3,1,40,6,936.18
Randall Gaylord,,2,0,36,5,330.26
Laverna Medhurst,50.145.246.237,4,1,44,1,1044.6
Roland Greenfelder,170.92.15.73,3,1,49,3,989.41
Deonna Flatley,6.126.24.20,4,1,53,3,666.89
Barton Johnson,95.181.244.50,3,1,73,2,304.67
Nickolas Larkin,,2,0,80,7,308.84
Kizzie Schoen,,2,0,72,2,179.78
Chassidy Abbott,202.48.203.94,4,1,34,5,1687.2
Rory Feeney,104.112.91.6,4,1,43,7,802.12
Gerald Howell,,2,0,72,6,373.25
Carmelo Stehr,205.198.12.218,3,1,30,3,314.48
Hazel Price,,2,0,68,6,68.199
Carlee VonRueden,221.110.121.167,1,1,21,5,301.66
Ned Jakubowski,78.229.99.220,4,1,33,7,1259.1
Coleman Grimes,,4,0,42,3,535.79
Cleveland Kirlin,24.52.135.132,1,1,33,4,405.55
Tatyana Carroll,105.168.47.102,4,1,53,2,1565.9
Matt Lang,,4,0,35,3,2785.6
Nannie Gusikowski,4.94.218.15,1,1,26,3,344.19
Truman Sawayn,,3,0,33,5,1245.4
Leontine Schinner,,4,0,57,2,2773.4
Carmine Hilpert,,2,0,68,6,409.04
Hettie McDermott,56.4.54.162,4,1,27,2,1278.7
Jestine Kling,,2,0,77,6,59.878
Leroy Mraz,2.175.164.255,1,1,38,3,1546.6
Donnette Hettinger,126.104.160.217,3,1,69,5,210.65
Estell Spencer,,4,0,18,6,2937.0
Kyra Donnelly,,4,0,59,4,2714.9
Blair Gutkowski,,2,0,32,2,21.219
Buddy Aufderhar,,3,0,39,3,2446.2
Jeremy Blanda,242.87.208.52,1,1,42,4,940.56
Bob Hermiston,,4,0,27,2,2072.7
Justin Waters,210.178.254.140,1,1,36,1,1544.4
Lonnie Abbott,,4,0,31,4,1303.9
Lashonda Prohaska,145.42.112.205,4,1,27,2,255.31
Fred Schmeler,106.37.247.135,4,1,24,6,1684.2
Lance Jast,225.49.187.131,4,1,49,3,544.8
Rene Balistreri,,2,0,47,8,462.69
April Witting,114.194.10.54,3,1,41,5,167.71
Gaynell Connelly,,2,0,82,7,474.5
Vincent Pacocha,9.10.114.14,1,1,44,2,618.65
Margarito Botsford,77.153.202.233,3,1,26,3,388.93
Harvey Smitham,,2,0,35,3,487.29
Derick Considine,46.231.79.132,3,1,40,4,298.93
Kimiko Hahn,,4,0,21,7,133.31
Alejandrina Jones,,3,0,52,3,2823.9
Caleb Wunsch,161.160.102.14,3,1,40,1,398.66
Tommye Conn,,4,0,35,3,2717.0
Darius Jacobs,,4,0,52,3,1230.6
Audry Goyette,,3,0,22,6,1005.6
Jerry Hahn,18.58.202.195,1,1,36,1,1823.7
Michiko VonRueden,99.249.160.60,1,1,31,5,879.9
Stacey Gleason,,3,0,51,2,539.95
Gaye Marvin,170.242.20.171,3,1,32,2,190.32
Joesph Bartell,225.68.67.170,3,1,69,5,151.02
Kristin Grant,,4,0,30,7,2533.9
Lindsay Halvorson,,4,0,49,6,1979.0
Jerrod Brekke,157.120.250.129,1,1,41,6,94.687
Edison Koch,27.167.156.148,1,1,35,6,574.07
Linh Kessler,245.41.126.173,1,1,72,3,625.64
Deeann Pouros,,2,0,35,6,177.95
Harley Aufderhar,192.66.83.182,4,1,29,1,924.26
Allyn Koepp,,2,0,80,3,354.78
Perry Ullrich,106.162.158.226,1,1,45,3,1103.1
Joette Conn,,2,0,73,7,293.34
Lilliam Kertzmann,75.144.139.65,1,1,53,3,662.79
Napoleon Hills,224.75.71.106,4,1,22,4,1300.6
Rocco Cormier,225.39.4.200,3,1,44,2,564.03
Hanna Reynolds,,4,0,33,3,1234.3
Billy Reichel,,3,0,52,7,1882.6
Ami Robel,,4,0,44,4,887.81
Harland Ryan,29.165.39.96,4,1,27,5,1251.0
Felix Beahan,,2,0,84,2,27.72
Javier Armstrong,,4,0,52,3,1612.3
Antony Schumm,,2,0,70,6,477.94
Darryl Lehner,138.85.239.51,3,1,36,4,419.22
Rick Lesch,233.185.32.240,1,1,49,2,242.72
Jere Hahn,18.70.21.149,4,1,30,1,1389.9
Lien Lakin,,2,0,63,5,172.55
Patricia Schmitt,157.131.236.114,4,1,37,4,1074.5
Zackary Hagenes,222.223.35.53,1,1,45,6,1752.5
Giuseppe Leffler,247.196.115.223,4,1,27,5,773.75
Lydia Schneider,77.186.15.46,4,1,53,6,174.73
Louis Schoen,93.206.87.45,1,1,62,4,764.53
Sherman Berge,243.60.224.88,1,1,24,6,1042.4
Wilhelmina Becker,75.91.251.189,4,1,38,2,1374.2
Colby Weimann,,2,0,39,2,27.769
Adena Sporer,,2,0,71,6,60.504
Brittni Lakin,206.65.244.78,1,1,55,8,82.488
Clay Donnelly,47.121.228.166,4,1,35,2,1878.7
Nanette Abernathy,,4,0,24,2,126.68
Diego Hodkiewicz,136.16.179.218,4,1,33,5,962.6
Yolande Lindgren,,2,0,54,2,149.61
Shellie Ondricka,,3,0,48,6,1023.7
Cory Weissnat,229.177.231.211,4,1,34,2,399.62
Lauren Veum,,2,0,41,6,119.87
Freda Kshlerin,88.141.11.127,1,1,50,6,324.93
Lorrine Dicki,,4,0,62,2,2666.4
Jean Gerhold,,2,0,80,4,136.7
Syreeta Grady,,4,0,26,4,1846.2
Cathi Johns,,2,0,58,3,448.09
Carter Volkman,116.25.48.139,3,1,38,2,384.79
Chadwick Watsica,97.57.253.238,1,1,34,7,786.71
Wes Bernier,,2,0,53,1,66.416
Jenise O'Keefe,,2,0,81,7,439.52
Marlen Prohaska,87.241.204.167,4,1,47,4,181.24
Antoine Bauch,,4,0,20,7,722.93
Tommie Jenkins,94.12.8.113,4,1,39,5,947.97
Agueda Koepp,,2,0,58,4,287.53
Richard Koelpin,,2,0,49,3,207.14
Frankie Schneider,,3,0,47,4,2826.9
Doreen Thiel,176.250.169.88,4,1,50,5,1110.0
Yvonne Ondricka,106.204.189.31,4,1,47,6,1971.5
James Altenwerth,,3,0,21,7,772.05
Dick Ullrich,,2,0,70,7,168.07
Dorian Ernser,252.189.57.210,1,1,37,6,1871.3
Ursula Turcotte,,2,0,54,3,256.28
Gisela Kemmer,233.54.186.151,4,1,29,7,656.7
Moriah Jast,,3,0,35,6,1999.0
Jean Lindgren,16.146.7.183,4,1,37,7,983.29
Alonso Baumbach,187.135.160.133,3,1,58,1,425.52
Junior Collier,47.211.98.51,3,1,37,4,119.26
Mattie Wunsch,76.126.3.179,1,1,31,5,694.26
Jermaine Stehr,237.39.196.15,1,1,21,6,870.4
Carisa O'Connell,,2,0,63,5,378.64
Ossie Pollich,75.219.86.95,1,1,55,6,827.77
Cheryl Jerde,126.136.2.158,4,1,50,4,1265.9
Patrick White,217.239.247.25,3,1,56,7,580.08
Grace Rosenbaum,,3,0,62,6,275.3
Jacques Cummings,,3,0,26,5,722.0
Jerrod Waters,27.121.194.60,1,1,45,3,817.52
Neal Rolfson,52.27.111.212,3,1,41,2,350.5
George Oberbrunner,4.107.120.128,4,1,49,3,1065.3
Dominique Rice,,4,0,62,5,2800.9
Marni Lesch,,2,0,38,3,48.163
Hollis Adams,,3,0,58,6,2570.3
Carmelina Becker,42.145.254.38,3,1,32,7,729.04
Andre Daugherty,244.113.137.218,4,1,42,5,837.97
Vincent Lowe,,4,0,49,4,2503.6
Vennie Kub,,3,0,40,4,883.17
Usha Hilpert,,3,0,50,2,1560.4
Abdul King,,4,0,41,3,1856.8
Tenisha Schinner,,2,0,36,5,59.525
Henry Stehr,162.107.148.179,3,1,63,7,408.43
Devon Lehner,,4,0,44,2,1191.6
Nenita Connelly,240.209.246.170,4,1,20,5,1676.2
Elias O'Keefe,155.146.232.255,4,1,34,3,666.74
Stan Shields,204.107.97.82,3,1,32,3,115.22
Ivana Von,236.4.31.145,1,1,36,7,488.15
Genoveva Nikolaus,19.3.189.182,1,1,31,6,1503.0
Loida Lemke,87.29.46.67,4,1,23,2,373.0
Lamar Weber,14.85.136.35,4,1,19,7,282.21
Marylouise Halvorson,,4,0,32,4,1779.7
Lashaunda Ward,144.81.92.67,1,1,67,3,168.66
Shan Kirlin,106.184.132.155,1,1,61,3,707.05
Corrine Lubowitz,,2,0,84,4,340.04
Kristian Quitzon,32.113.9.245,1,1,70,2,191.09
Sherryl Harvey,227.131.51.159,1,1,31,7,940.4
Chet Bogisich,,2,0,30,3,270.05
Mandi Reinger,194.170.12.92,1,1,32,2,507.64
Jonna Schaefer,,2,0,85,6,87.461
Patricia Morar,,4,0,31,7,2665.0
Arnold Hills,119.188.68.9,4,1,47,6,1710.7
Clement Lubowitz,45.187.162.110,3,1,43,1,677.93
Bert Bernier,,2,0,52,5,368.36
Morton Doyle,,4,0,56,6,1573.2
Lizzie Schmitt,248.193.4.18,4,1,54,1,614.7
Carol Hills,,2,0,57,4,487.97
Tony Greenholt,,4,0,48,4,1642.4
Loura Willms,,2,0,36,5,276.32
Keneth Marks,226.60.55.218,4,1,22,5,1034.1
Fletcher Wiza,83.236.250.48,3,1,72,3,194.07
Lucio Rippin,,2,0,69,5,83.119
Kristofer Crona,167.154.78.175,4,1,28,7,1712.2
Paz Stamm,58.100.215.188,3,1,29,4,804.83
Shery Runte,,2,0,76,2,460.96
Raina Hudson,,2,0,58,5,100.48
Raguel Collier,15.178.76.211,3,1,41,3,342.86
Keisha Heaney,243.139.12.136,1,1,47,2,1292.6
Ryan Ritchie,,2,0,62,1,391.09
Alda Schroeder,,2,0,63,2,213.2
Melisa Aimonetti,,3,0,46,6,1244.0
Maira West,87.201.45.147,4,1,28,6,475.44
Mervin Runte,83.21.78.255,3,1,57,4,298.52
Roger Hintz,,2,0,69,5,24.741
Brent Sipes,184.225.18.215,1,1,43,1,714.73
Thu Witting,69.171.41.135,1,1,69,7,695.72
Regina McDermott,,2,0,46,8,403.82
Stacia Mertz,,4,0,27,2,1201.9
Jaimee Price,,4,0,58,4,1567.1
Russell Grady,,2,0,63,1,458.33
Ashlie Hintz,,2,0,29,2,329.79
Marquetta Lubowitz,,2,0,49,1,248.77
Lewis Pollich,47.76.124.243,4,1,35,2,101.52
Eleonora McLaughlin,,2,0,81,8,102.14
Sherrie Barrows,,3,0,53,7,588.22
Carolyn Bernhard,,2,0,30,8,180.55
Trenton Spinka,,2,0,83,4,465.57
Jennefer Effertz,,3,0,31,5,725.7
Filiberto Parker,,4,0,38,6,615.89
Rossie Schultz,,2,0,47,4,320.56
Cheryll Kuvalis,24.95.168.25,1,1,39,6,1235.8
Stephen Erdman,221.129.123.236,3,1,72,6,841.91
Juan Rogahn,,2,0,79,7,260.36
Aracely Cole,122.247.95.207,1,1,46,1,120.44
Erich Bosco,,2,0,55,6,236.59
Andre Schmidt,,2,0,71,7,84.685
Leda Bechtelar,45.97.236.212,3,1,61,3,460.38
Loan Pfeffer,,2,0,44,7,484.29
Cyrus Homenick,187.135.242.103,1,1,19,6,566.25
Renita Turcotte,216.71.231.190,1,1,27,7,193.47
Abram Deckow,33.4.162.114,1,1,54,2,452.3
Antonina Swift,,4,0,35,5,1590.9
Adan Beer,44.160.178.40,1,1,53,4,560.95
Milo Nolan,,4,0,57,2,1831.0
Clotilde Prosacco,,3,0,26,3,133.5
Tracy Crona,,4,0,43,5,1685.3
Shannon Jacobs,,2,0,77,5,157.35
Gregory Leannon,126.114.5.223,4,1,33,2,1862.2
Andrew Herman,119.136.229.126,4,1,44,1,1634.0
Wilburn Jenkins,147.120.71.197,4,1,46,7,1931.0
Candie Turcotte,,2,0,43,4,487.72
Grant Rau,,3,0,53,6,1053.0
Joycelyn Green,36.66.2.4,4,1,51,6,76.603
Jerome Berge,,3,0,57,4,1128.2
Art Ferry,,3,0,49,6,2543.6
Kory Bins,,4,0,42,6,2621.4
Spencer Powlowski,,2,0,45,7,246.36
Lannie Schulist,193.20.205.122,4,1,53,6,1374.9
Lawanna Wisoky,,4,0,40,3,1243.2
Klara Goldner,,4,0,21,8,168.59
Jeff Lehner,234.86.210.125,1,1,44,2,1979.6
Tisa Osinski,163.105.125.246,4,1,27,5,1114.0
George Dietrich,,3,0,36,8,1759.6
Mohammad Collier,,2,0,83,7,283.45
Willard Hammes,247.197.163.248,4,1,55,3,258.54
Vaughn Jacobs,174.49.164.156,1,1,20,4,782.36
Kristel Klocko,72.110.120.67,1,1,40,3,596.63
Dallas Cummerata,120.237.182.32,1,1,51,8,828.55
Rickie Hodkiewicz,171.107.187.184,1,1,59,7,256.91
Teresita Torphy,,4,0,32,4,615.49
Mark Beatty,,3,0,40,1,540.62
Caryn Baumbach,,2,0,31,7,84.917
Erinn Howe,191.243.254.139,3,1,32,5,100.14
Jim Kerluke,215.159.247.134,1,1,34,3,456.39
Lucien Reynolds,,2,0,59,7,477.57
Wesley Langworth,,2,0,62,3,269.58
Laveta Lynch,,3,0,45,1,2169.9
Patricia Dickens,,2,0,73,2,27.675
Yasuko McCullough,102.136.29.42,4,1,41,5,429.29
Alfonso Bailey,,4,0,40,3,2191.6
Mirna Wintheiser,,2,0,39,2,240.95
